,Player,Rk,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Year,Tgt,Rec,Ctch%,Y/R,Y/Tgt,R/G
246,Maurice Jones-Drew,23.25,JAX,24,RB,63,20,842.0,3924,49,211,64.25,4.75,62.1,11,2009,263.0,201.0,76.05,8.97,6.8,3.2
247,Maurice Morris,82.25,SEA,26,RB,58,3,171.0,806,1,44,32.0,4.85,13.8,3,2005,35.0,21.0,73.75,7.95,6.08,0.38
248,Melvin Gordon,13.75,LAC,25,RB,55,51,897.0,3628,28,210,49.0,4.1,66.35,10,2018,243.0,182.0,76.7,8.5,6.43,3.35
249,Mewelde Moore,80.75,MIN,25,RB,54,11,264.0,1285,1,60,24.5,5.33,24.23,6,2007,151.0,116.0,77.28,9.05,6.95,2.1
250,Michael Bennett,37.25,MIN,26,RB,48,43,587.0,2701,9,107,42.25,4.5,53.62,7,2004,116.0,99.0,85.88,9.55,8.22,1.98
251,Michael Bush,41.33,OAK,26,RB,45,10,376.0,1665,14,69,52.33,4.43,37.23,3,2010,73.0,54.0,75.93,8.5,6.33,1.23
252,Michael Cox,164.0,NYG,26,RB,18,1,26.0,76,0,2,13.0,5.15,5.7,0,2014,6.0,5.0,83.35,4.25,3.5,0.35
253,Michael Turner,75.0,SDG,25,RB,59,1,228.0,1257,6,52,65.0,5.47,21.68,2,2007,16.0,11.0,59.27,5.42,4.9,0.2
254,Michael Wiley,104.33,DAL,24,RB,42,1,80.0,503,1,24,38.33,6.2,11.57,4,2002,74.0,43.0,60.63,7.47,4.23,1.07
255,Mike Davis,85.75,SEA,25,RB,35,9,234.0,862,5,46,22.75,3.1,22.57,1,2018,78.0,59.0,69.53,7.17,5.08,1.6
256,Mike Gillislee,100.67,BUF,26,RB,23,2,154.0,865,11,51,36.67,4.97,32.97,2,2016,18.0,15.0,83.75,5.2,4.3,0.9
257,Mike Goodson,87.0,OAK,25,RB,36,3,160.0,722,3,27,33.0,4.3,17.6,7,2012,78.0,59.0,75.88,7.88,6.6,1.1
258,Mike Green,116.5,TEN,26,RB,31,3,36.0,142,1,8,16.5,4.05,4.55,1,2002,24.0,19.0,54.1,4.47,3.53,0.43
259,Mike Hart,140.33,IND,24,RB,21,1,71.0,264,2,16,19.0,3.83,12.0,1,2010,15.0,12.0,87.5,11.0,9.67,0.57
260,Mike James,137.67,TAM,25,RB,23,3,83.0,351,0,19,14.0,3.87,15.03,0,2016,16.0,15.0,96.97,1.6,1.47,0.8
261,Mikel Leshoure,133.0,DET,23,RB,17,14,217.0,807,9,47,10.5,4.1,30.0,3,2013,49.0,34.0,69.4,6.3,4.4,2.4
262,Miles Sanders,22.0,PHI,25,RB,57,49,739.0,3708,20,165,56.25,5.08,65.2,9,2022,175.0,124.0,71.65,6.8,4.88,2.2
263,Montario Hardesty,59.0,CLE,25,RB,23,5,153.0,537,1,18,22.0,3.6,23.7,3,2012,26.0,16.0,53.35,8.35,4.5,0.8
264,Montee Ball,59.5,DEN,24,RB,21,3,175.0,731,5,44,34.0,3.9,34.65,4,2014,40.0,29.0,71.65,7.1,5.1,1.55
265,Musa Smith,130.67,BAL,24,RB,32,0,57.0,232,2,13,18.0,3.9,6.97,2,2006,30.0,27.0,81.9,7.77,5.13,1.67
266,Myles Gaskin,80.0,MIA,25,RB,38,17,361.0,1355,7,61,23.25,3.48,29.98,4,2022,128.0,101.0,72.5,7.15,5.25,2.25
267,Najeh Davenport,72.5,GNB,26,RB,39,2,217.0,1068,7,51,45.75,4.7,26.15,7,2005,25.0,17.0,78.9,5.67,4.33,0.45
268,Nick Chubb,10.5,CLE,26,RB,58,51,908.0,4816,36,226,77.25,5.33,83.62,6,2021,121.0,92.0,77.85,8.32,6.53,1.57
269,Noah Herron,76.5,GNB,24,RB,23,0,85.0,273,3,7,18.0,3.35,13.5,2,2006,35.0,29.0,82.9,7.3,6.0,1.8
270,Nyheim Hines,69.0,IND,25,RB,65,12,282.0,1169,9,73,25.25,4.17,18.0,5,2021,272.0,210.0,76.7,7.38,5.6,3.25
271,Onterrio Smith,40.5,MIN,24,RB,26,9,231.0,1123,7,47,42.5,4.9,44.05,3,2004,65.0,51.0,77.5,9.75,7.65,2.15
272,Owen Marecic,209.0,CLE,23,RB,14,4,4.0,8,0,1,3.0,2.0,0.6,1,2011,12.0,5.0,35.7,3.1,2.2,0.2
273,Paul Perkins,92.67,DET,25,RB,29,5,165.0,575,0,30,16.33,2.9,16.03,1,2019,35.0,24.0,80.83,8.53,6.8,0.7
274,Paul Smith,176.25,DET,25,RB,43,0,42.0,194,1,10,11.5,4.58,4.47,3,2003,17.0,12.0,70.83,14.37,9.97,0.47
275,Qadree Ollison,200.0,ATL,25,RB,19,0,44.0,158,5,14,9.33,3.43,6.8,2,2021,8.0,5.0,58.35,5.0,2.75,0.3
276,Quentin Griffin,49.0,DEN,23,RB,16,5,179.0,656,2,30,35.0,3.7,43.15,6,2004,25.0,18.0,72.05,7.2,5.2,1.25
277,Quincy Wilson,262.0,CIN,25,RB,3,0,2.0,2,0,0,5.0,1.0,0.7,0,2006,,,,,,
278,Quinton Ganther,114.5,WAS,25,RB,21,4,71.0,262,3,15,17.5,5.0,14.9,0,2009,17.0,15.0,63.33,6.07,5.7,0.53
279,Rashaad Penny,82.25,SEA,25,RB,37,6,280.0,1572,11,65,41.25,5.0,38.28,1,2021,31.0,23.0,74.23,8.9,6.6,0.67
280,Rashad Jennings,61.0,JAX,27,RB,38,9,224.0,944,7,48,41.0,4.5,25.7,3,2012,79.0,61.0,78.77,7.23,5.67,1.67
281,Rashard Mendenhall,37.5,PIT,24,RB,51,44,813.0,3367,29,160,47.5,3.92,56.33,6,2011,97.0,68.0,69.17,8.7,6.07,1.18
282,Ray Rice,16.25,BAL,24,RB,61,49,959.0,4377,24,181,59.75,4.55,70.05,6,2011,331.0,250.0,75.72,8.85,6.7,4.03
283,Reggie Bush,45.0,NOR,24,RB,52,35,488.0,1940,17,104,34.5,4.17,38.0,17,2009,360.0,260.0,71.88,7.43,5.33,5.05
284,Reuben Droughns,159.33,DEN,25,RB,40,7,40.0,97,1,5,12.0,2.5,3.2,0,2003,24.0,18.0,75.47,8.53,6.37,0.43
285,Rex Burkhead,144.33,CIN,26,RB,41,1,87.0,375,3,25,9.67,2.87,8.27,2,2016,45.0,34.0,73.9,8.3,6.17,0.83
286,Robert Turbin,65.0,2TM,26,RB,58,3,281.0,1127,1,42,20.0,4.0,19.48,2,2015,65.0,50.0,74.83,7.97,6.12,0.85
287,Ron Dayne,28.67,NYG,24,RB,48,12,533.0,1888,15,114,47.0,3.53,39.33,4,2002,26.0,22.0,88.13,5.53,4.63,0.47
288,Ronald Jones II,53.0,TAM,24,RB,55,25,488.0,2174,18,109,46.5,3.85,36.73,7,2021,104.0,76.0,74.72,6.75,5.05,1.32
289,Rondell Mealey,141.0,GNB,25,RB,14,1,22.0,73,1,4,13.5,3.35,7.7,0,2002,11.0,9.0,88.9,10.95,10.25,1.25
290,Ronnie Brown,27.25,MIA,27,RB,51,46,781.0,3433,23,180,58.5,4.5,70.33,9,2008,174.0,137.0,79.1,8.35,6.65,3.08
291,Ronnie Hillman,45.5,DEN,24,RB,48,14,453.0,1845,12,97,39.75,4.05,38.4,8,2015,95.0,67.0,74.85,6.82,5.25,1.5
