Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk
6,194,ATL,Russell Gage,WR,22,2022,0,0,0,74,1,2,39,1,0,6,21,0,244,2491,14,10,,
6,195,LAR,Sebastian Joseph-Day,DT,23,2022,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,110,1,8
6,196,KAN,Tremon Smith,WR,22,2022,0,0,0,66,0,0,0,0,0,1,7,0,0,0,0,40,2,
6,197,WAS,Shaun Dion Hamilton,LB,22,2020,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,70,1,2.5
6,198,KAN,Kahlil McKenzie,DT,21,2021,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,5,,
6,199,TEN,Luke Falk,QB,23,2019,0,0,0,3,47,73,416,0,3,0,0,0,0,0,0,,,
6,200,ATL,Foyesade Oluokun,S,23,2022,0,0,2,81,0,0,0,0,0,0,0,0,0,0,0,400,5,7
6,201,NOR,Boston Scott,RB,23,2022,0,0,0,60,0,0,0,0,0,282,1209,16,67,514,1,3,,
6,202,TAM,Jack Cichy,ILB,23,2020,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,4,,
6,203,JAX,Tanner Lee,QB,23,,0,0,0,,,,,,,,,,,,,,,
6,204,NYJ,Trenton Cannon,RB,24,2022,0,0,0,48,0,0,0,0,0,51,150,1,20,160,0,22,,
6,205,LAR,Trevon Young,DE,23,2018,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,
6,206,PHI,Matt Pryor,T,23,2022,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,,,
6,207,GNB,Equanimeous St. Brown,WR,21,2022,0,0,1,53,0,0,0,0,0,11,80,0,58,866,2,8,,
6,208,DAL,Cedrick Wilson Jr.,WR,22,2022,0,0,0,53,5,5,111,1,0,6,7,0,79,973,8,2,,
6,209,MIA,Cornell Armstrong,CB,22,2022,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,33,,
6,210,NWE,Braxton Berrios,WR,22,2022,1,0,0,65,1,1,2,1,0,19,160,4,107,1085,5,1,,
6,211,HOU,Jordan Thomas,TE,22,2020,0,0,1,27,0,0,0,0,0,0,0,0,22,226,5,,,
6,212,BAL,Greg Senat,T,23,2020,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,,,
6,213,MIN,Colby Gossett,G,23,2022,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,,,
6,214,HOU,Peter Kalambayi,LB,23,2020,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,17,,
6,215,BAL,Bradley Bozeman,C,23,2022,0,0,3,79,0,0,0,0,0,0,0,0,0,0,0,1,,
6,216,OAK,Azeem Victor,LB,22,,0,0,0,,,,,,,,,,,,,,,
6,217,DEN,Keishawn Bierria,ILB,23,2019,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,3,,
6,218,MIN,Ade Aruna,DE,24,,0,0,0,,,,,,,,,,,,,,,
7,219,NWE,Danny Etling,QB,24,,0,0,0,,,,,,,,,,,,,,,
7,220,SEA,Alex McGough,QB,22,,0,0,0,,,,,,,,,,,,,,,
7,221,IND,Matthew Adams,LB,22,2022,0,0,1,68,0,0,0,0,0,0,0,0,0,0,0,57,,
7,222,HOU,Jermaine Kelly,CB,23,,0,0,0,,,,,,,,,,,,,,,
7,223,SFO,Jullian Taylor,DT,23,2019,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,11,,
7,224,CHI,Javon Wims,WR,23,2022,0,0,0,34,0,0,0,0,0,1,2,0,28,266,2,,,
7,225,MIN,Devante Downs,LB,22,2020,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,27,,
7,226,DEN,David Williams,RB,24,2018,0,0,0,6,0,0,0,0,0,8,36,0,0,0,0,,,
7,227,MIA,Quentin Poling,LB,24,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
7,228,OAK,Marcell Ateman,WR,23,2021,0,0,0,19,0,0,0,0,0,0,0,0,20,270,1,,,
7,229,MIA,Jason Sanders,K,22,2022,1,0,0,82,0,0,0,0,0,0,0,0,1,1,1,2,,
